graph-1000-10, p=0
partialcol targetK 74 dynamic 73 HIT 5
partialcol targetK 70 dynamic 69 HIT 5
tabucol targetK 70 dynamic 69 HIT 5
tabucol targetK 69 dynamic 68 HIT 5
partialcol targetK 69 dynamic 68 HIT 5

graph-1000-10, p=4
tabucol targetK 29 reactive 28 MISS 0
partialcol targetK 29 reactive 28 MiSS 0
tabucol targetK 30 reactive 29 MISS 0
partialcol targetK 30 reactive 29 MiSS 0
partialcol targetK 31 reactive 30 MiSS 0
tabucol targetK 31 reactive 30 MISS 0
tabucol targetK 32 reactive 31 MISS 0
partialcol targetK 32 reactive 31 MiSS 0
tabucol targetK 33 reactive 32 MISS 0
partialcol targetK 33 reactive 32 MiSS 0
tabucol targetK 34 reactive 33 MISS 0
partialcol targetK 34 reactive 33 MiSS 0
tabucol targetK 35 reactive 34 MISS 0
partialcol targetK 35 reactive 34 HIT 1
tabucol targetK 36 reactive 35 MISS 0
tabucol targetK 37 reactive 36 MISS 0
tabucol targetK 38 reactive 38 MISS 0
tabucol targetK 39 reactive 38 MISS 0
tabucol targetK 40 reactive 39 MISS 0
tabucol targetK 41 reactive 41 MISS 0
tabucol targetK 42 reactive 41 MISS 0
tabucol targetK 43 reactive 42 HIT 1
tabucol targetK 65 dynamic 64 HIT 5
tabucol targetK 60 dynamic 59 MiSS 0
partialcol targetK 60 dynamic 63 MiSS 0
tabucol targetK 63 dynamic 62 HIT 5
partialcol targetK 63 dynamic 62 HIT 5
tabucol targetK 62 dynamic 61 HIT 5
partialcol targetK 62 dynamic 61 HIT 5
tabucol targetK 61 dynamic 60 HIT 4
partialcol targetK 61 dynamic 60 HIT 4


graph-1000-10, p=6
tabucol targetK 35 dynamic 42 MiSS 0
partialcol targetK 35 dynamic 43 MiSS 0
tabucol targetK 35 reactive 34 MISS 0
partialcol targetK 35 reactive 34 MiSS 0
partialcol targetK 36 reactive 35 MiSS 0
partialcol targetK 37 reactive 36 MiSS 0
partialcol targetK 38 reactive 37 MiSS 0
partialcol targetK 39 reactive 38 MiSS 0
partialcol targetK 40 reactive 39 MiSS 0
partialcol targetK 41 reactive 40 MiSS 0
partialcol targetK 42 reactive 41 MiSS 0
partialcol targetK 43 reactive 42 HIT 1
partialcol targetK 44 reactive 43 MiSS 0
tabucol targetK 44 reactive 43 MISS 0
tabucol targetK 45 reactive 44 MISS 0
partialcol targetK 45 reactive 44 MiSS 0
tabucol targetK 46 reactive 46 MISS 0
tabucol targetK 47 reactive 46 MISS 0
tabucol targetK 48 reactive 47 MISS 0
tabucol targetK 49 reactive 48 MISS 0
tabucol targetK 50 reactive 49 MISS 0
tabucol targetK 51 reactive 52 MISS 0
tabucol targetK 52 reactive 51 MISS 0
tabucol targetK 53 reactive 52 HIT 1
partialcol targetK 60 dynamic 59 HIT 5
partialcol targetK 58 dynamic 64 MiSS 0
partialcol targetK 59 dynamic 58 HIT 3
tabucol targetK 59 dynamic 58 HIT 3

graph-1000-10, p=7
partialcol targetK 43 reactive 42 MiSS 0
partialcol targetK 44 reactive 43 MiSS 0
partialcol targetK 45 reactive 44 MiSS 0
partialcol targetK 46 reactive 45 MiSS 0
partialcol targetK 47 reactive 46 MiSS 0
partialcol targetK 48 reactive 47 MiSS 0
partialcol targetK 49 reactive 48 MiSS 0
partialcol targetK 50 reactive 49 HIT 1
partialcol targetK 51 reactive 50 MiSS 0
tabucol targetK 53 reactive 52 MISS 0
tabucol targetK 54 reactive 54 MISS 0
tabucol targetK 55 reactive 54 HIT 2
partialcol targetK 60 dynamic 59 HIT 5
partialcol targetK 58 dynamic 57 HIT 5
partialcol targetK 57 dynamic 56 HIT 5
tabucol targetK 57 dynamic 56 HIT 5


graph-1000-10, p=8
partialcol targetK 50 reactive 49 MiSS 0
partialcol targetK 51 reactive 50 MiSS 0
partialcol targetK 52 reactive 51 HIT 1
tabucol targetK 56 reactive 58 HIT 2
partialcol targetK 57 dynamic 56 HIT 5
tabucol targetK 57 dynamic 56 HIT 5
tabucol targetK 57 reactive 56 HIT 5

graph-1000-10, p=9

partialcol targetK 52 reactive 51 MiSS 0
partialcol targetK 53 reactive 52 MiSS 0
partialcol targetK 54 reactive 53 HIT 1
partialcol targetK 56 dynamic 55 MiSS 0
partialcol targetK 57 dynamic 56 MiSS 0
partialcol targetK 58 dynamic 57 MiSS 0
tabucol targetK 59 reactive 58 MISS 0
tabucol targetK 60 reactive 60 HIT 2
tabucol targetK 60 reactive 60 HIT 2
partialcol targetK 70 dynamic 69 HIT 5
tabucol targetK 70 dynamic 69 HIT 5
tabucol targetK 68 dynamic 67 HIT 5
partialcol targetK 68 dynamic 67 HIT 5
partialcol targetK 66 dynamic 65 HIT 5
tabucol targetK 66 dynamic 65 HIT 5
tabucol targetK 65 dynamic 64 MiSS 0

